What is one of the primary purposes of media products related to knowledge transfer?,To educate or inform people.
How might a website for a new smartphone serve the purpose of informing customers?,By providing a technical specification.
What kind of information does a cereal packet provide to fulfil its purpose of informing?,Nutritional information.
A news broadcast will inform viewers and listeners about _____ events.,prominent
What is the primary purpose of a textbook as a media product?,To educate students about a subject.
"What is a very common purpose for media products, particularly for films and a large proportion of television?",To entertain.
"Besides drama and comedy, what is another example of television content created to entertain?",Sport.
What elements might live shows use to enhance the entertainment experience for the audience?,"Audio technicians, special effects like pyrotechnics, lighting, and video."
What is the objective of many adverts as media products?,To influence the behaviour or choices of viewers or listeners.
"Besides traditional adverts, what is an example of a media product that aims to influence behaviour?",Videos of influencers reviewing products or government health department leaflets.
Why is it important for a designer to understand the purpose of a media product?,"It helps in tailoring the content, style, and layout for effective communication."
"In web design, what meaning is the colour red often used to convey?",Stop or error.
"What 'feeling' might blue colours create, making them suitable for selling a fridge?",A cold feeling.
"What feelings are associated with orange and red colours, making them suitable for a heating company?",Warm feelings.
"The colour green has associations with nature, the environment, and _____.",money
What rating is a common genre convention found on the spine of Blu-ray Discs in the UK?,A BBFC (British Board of Film Classification) rating.
"According to genre conventions, how is the title of a film typically oriented on the spine of a Blu-ray case?",With the top of the text at the right of the spine.
What information is typically found on the front and back covers of a Blu-ray case?,"The film title, photos of actors, a description, and key crew/technical information."
What is the term for the specific arrangement of elements in a design to help it achieve its purpose?,Positioning.
"On the mini cereal boxes shown, where is the name of the cereal positioned?",In the top right.
"On the mini cereal boxes shown, where are the illustrated characters typically placed?",On the left.
"Besides informing, what other purpose do larger cereal boxes aim to achieve?",To influence customers to choose them over other options.
"On the larger Kellogg's box, why is the logo made larger across the top?",To increase brand recognition.
What slogan was added to the larger cereal box to help it achieve its purpose?,“THEY’RE GR-R-REAT!”
What text was added to the larger cereal box to persuade customers it might be healthy?,“made from REAL GRAIN”.
What illustrations were added to the larger cereal box to reinforce a healthy image?,An illustration of wheat and sunshine.
"The style in which graphics, video, photos, or sound is used is important because different styles evoke different _____ from an audience.",emotions and feelings
"In the example of the magazine article on healthy eating, how is an authentic and natural look achieved in the photograph?",A wooden board is used.
How does the visual style of the fast-food menu item help inform the customer?,By isolating the item against a white background and showing all ingredients clearly.
What type of language would a documentary typically use?,Formal language.
What type of language would a soap opera typically use?,"Informal language, or language appropriate to each character."
What is the main purpose of the children's workbook shown in the plenary?,To educate.
"In the children's workbook, what design choice is made with colour to make it appealing?",Bright colours have been used.
What kind of language is used in the children's workbook to suit its educational purpose?,Simple language for children beginning to read and write.
What is the style of illustration used in the children's workbook?,A simple style of illustration.
Why must a designer understand the purpose of a media product?,"So they can choose the right content, style, and layout for the audience."
Why do examples help when explaining the purpose of a media product?,They show how real products use design choices to achieve their aims.
How do design elements help a media product achieve its purpose?,"Elements like colour, layout, images, and typography shape meaning and influence the audience."
What makes a clear explanation of a media product's purpose well structured?,"Clear paragraphs, relevant examples, and a logical explanation from start to finish."
