"What is a potential hazard for actors, set builders, and camera crew that involves elevation?",Working at heights is a key hazard for various media production roles.
What common items on a media set can create trip hazards?,Power cables and dolly tracks are common trip hazards on set.
What is a significant risk associated with using electrical equipment on a media production set?,Electrocution is a significant hazard when working with electrical equipment.
"What physical risk is associated with moving cameras, lighting, and other production gear?",Lifting heavy equipment poses a physical risk to the crew.
What are two high-risk activities often featured in action sequences that require special safety protocols?,Firearms and stunts are high-risk activities requiring specific safety measures.
"Working _____ can lead to exhaustion, which is a notable health and safety risk in the media industry.",long hours
"What hazard can be present when filming on location, particularly in outdoor or public spaces?",The general public can pose an unpredictable risk during location filming.
What is the name of the key UK legislation from 1974 that governs workplace safety?,The Health and Safety at Work Act (1974).
"According to the Health and Safety at Work Act (1974), who are businesses responsible for protecting?","Businesses must protect all workers, clients, visitors, and the general public."
The Health and Safety at Work Act (1974) mandates that businesses must provide staff with _____ in health and safety procedures.,training
"Under the Health and Safety at Work Act (1974), businesses must protect people as 'far as is _____ practicable'.",reasonably
What are three common health risks for employees who spend all day working at a computer?,"Back and neck pain, headaches, and repetitive strain injury (RSI)."
"What is the term for pain felt in muscles, nerves and tendons caused by repetitive movement and overuse, common in computer users?",Repetitive strain injury (RSI).
"During a workstation risk assessment, what should be checked regarding lighting?",It should be checked that lighting does not cause glare or reflections on the screen.
What two qualities of a computer screen should be checked during a workstation assessment to ensure usability?,The screen should not flicker and the text should be an appropriate size.
When should regular reviews of workstation risk assessments be carried out?,Reviews should be carried out for new staff or when new equipment is installed.
What can be provided to staff to teach them how to correctly sit at a computer?,Training can be given in correct body alignment and sitting posture.
What is the name of the 1992 regulations specifically concerning the safety of employees using computers?,The Health and Safety (Display Screen Equipment) Regulations 1992.
The Display Screen Equipment Regulations 1992 state that employers must carry out a _____ of workstations.,risk assessment
"Under the Display Screen Equipment Regulations 1992, what must employers ensure employees do to avoid eye strain?",Employers must ensure that employees take regular breaks from looking at their screens.
What must an employer pay for if an employee who uses display screen equipment requests it?,The employer must pay for yearly eye tests if the employee requests them.
"What must employers provide to their computer users regarding their workstations, according to 1992 regulations?",Employers must provide their computer users with health and safety training for any workstations that they use.
Term: Recce,Definition: A visit to a potential filming location to check its suitability and identify any issues before production begins.
What is a key consideration regarding crew and actor vehicles during a location recce?,Access to the location and available parking for both crew and actors.
"During a recce, what aspects of lighting need to be considered at the location?","Considerations include shadows cast by buildings, the timing of daylight hours, and general lighting conditions."
What kind of auditory issue is a location manager looking for during a recce?,"A location manager would be checking for unwanted background noise, such as from aircraft or traffic."
What visual problem might a skyscraper in the background cause for a Victorian period drama?,"The skyscraper would be an object that doesn't match the scene, limiting the available shooting angles."
"Besides physical objects, what other key check is made during a location recce to anticipate production challenges?",The typical weather conditions of the location are assessed.
"What essential utility is checked for during a recce to power cameras, lighting, and other equipment?","The location is checked for access to electricity, or to determine if generators will be needed."
What is the name of the document that lists all potential risks in a production and details how they will be managed?,A risk assessment.
What are the two main purposes of a risk assessment document?,To identify all potential risks that may occur and to show how these risks will be reduced or eliminated.
What is a potential risk when using a crane to move a camera through the air?,It is possible for the camera to fall or for the crane to hit someone as it moves.
How are risk assessments typically recorded in a media production environment?,"They are likely to be recorded on a template, such as a Word document, or via online systems in larger companies."
What might a location manager need to establish during a recce of a public space like a city pavement?,They would need to establish what permissions would be needed for filming.
"Beyond parking, what other facilities are checked for during a recce to ensure crew welfare?",Notes are made about access to facilities such as toilets.
The document used to record risks with the aim of reducing or eliminating them is called a _____.,risk assessment
Information about potential health and safety issues found at a location is first noted during the _____.,recce
