What type of information do primary sources provide on a topic?,They provide first-hand information.
Name two examples of primary research methods that involve direct interaction with people.,Face-to-face interviews and focus groups.
"Besides interviews and surveys, name three other types of primary sources.","Questionnaires, original photographs and news footage, and polls."
What is the term for a first-hand account used in a newspaper report?,A primary source.
What is the primary purpose of conducting interviews in media contexts?,"To gather information to present to listeners, viewers, or readers."
An interview in which a journalist asks members of the public for their opinion is known as a _____.,Vox Pop
Who are the participants in a focus group?,They are carefully selected participants who reflect the target audience.
What is the main activity that participants engage in during a focus group?,They participate in a planned discussion to give their views and respond to each other.
"In advertising, what is a common use for a focus group?",To find out desirable product features or the reaction to a product.
How might a focus group be used in the field of politics?,To hear the public's response to different policies.
What is the fundamental goal of an online survey?,To take the opinions of a sample of people from a population to find information about them.
Through what digital platforms are online surveys typically completed?,They are completed via websites or apps.
What tool is used to analyse the data collected from the series of questions in an online survey?,A computer program.
Video footage and photos of _____ are considered primary sources.,real events
Give two examples of what primary source video footage might be used for in the media.,"Politicians’ statements and comments, or what is happening in a war or conflict."
"In the context of the R093 course, what two primary research methods are you asked to explain the advantages and disadvantages of in the Stage 3 exam question?",Focus groups and online surveys.
What is a focus group?,A small discussion with selected people from the target audience to gather opinions.
"To get full marks for 'Understanding' of online surveys, what must you correctly identify?",At least two advantages and two disadvantages.
What is the total number of marks available for the exam question on focus groups and online surveys?,Eight marks.
The marking criteria 'Application' assesses the appropriate use of _____ related to focus groups and online surveys.,terminology
What does the 'Analysis' section of the mark scheme require you to do regarding the two research methods?,Make clear comparisons between the advantages and disadvantages of focus groups and online surveys.
