What is meant by 'online distribution' in the context of media?,"Any media that is sent to users using the Internet, such as via the World Wide Web or video streaming services."
Netflix is an example of an online distribution service that primarily streams what type of media files?,Video files containing films or television programmes.
Which online audio streaming service is primarily used to distribute music and podcasts?,Spotify.
"Besides text and images, what other media types are commonly shared on the social media platform Facebook?",Photos and videos.
"Give an example of a mobile device platform, including the hardware and its operating system.","An iPhone 13 with iOS, or a Samsung Galaxy with Android."
What is a key design consideration when distributing media for mobile devices compared to desktops?,The smaller screen size of mobile devices.
"Tablets, such as an iPad using iPadOS, are a type of _____ platform.",mobile
What capability distinguishes interactive televisions from older analogue televisions?,"They allow users to interact with them to a greater degree, including using apps and streaming services."
"Besides broadcast digital television, what other types of media can be distributed through interactive TVs?","Video streaming services, apps, user photos, and music."
What are the typical features of a media distribution kiosk?,A kiosk contains a touch screen and will have limited functionality.
What types of media are typically distributed through kiosks?,"Images, animation, and sounds."
Self-service checkouts in supermarkets are a type of kiosk that primarily uses what media to identify products?,They scan bar codes (images) on products.
"What kind of media would an information kiosk, such as one displaying a map, primarily use?","Images (maps and photos), and sometimes sounds or background music."
What is the primary function of an Internet kiosk often found in hotels or airports?,To allow public access to websites.
"An advertisement display kiosk is used to show images, photos, or _____ to promote products.",video
What term describes media products distributed using tangible formats like DVDs or advertising posters?,Physical media.
Name two distinct categories of physical media mentioned in the source material.,Print products (like posters) and digital media (like DVDs and Blu-Rays).
"List three examples of print media, other than posters.","Books, magazines, flyers, newspapers, or maps."
What type of media were Compact Discs (CDs) commonly used to distribute?,Music.
What is the approximate storage capacity of a standard Compact Disc (CD) in terms of uncompressed audio?,74 minutes or 650 MB.
What are Digital Versatile Discs (DVDs) primarily used to store and distribute?,Films and television programmes.
"A standard DVD can store up to 9.4 GB on each side, which is enough for approximately how many hours of video?","Around 4 hours, depending on compression."
What is another common name for a 'memory stick'?,A pen drive or USB removable storage.
What type of removable flash memory card is typically used in high-end digital cameras?,SD cards.
Which types of removable flash memory cards are most commonly used in smartphones?,Mini and micro-SD cards.
Under what circumstance does storage like flash memory become especially important for sharing media?,When the Internet is not available.
"What are the four ink colours represented by the acronym CMYK, used in more expensive colour printing?","Cyan, Magenta, Yellow, and Key/Black."
Why is distributing paper-based media significantly more expensive than distributing online media?,Because it needs to be printed and physically transported.
"What are three potential distribution methods for a television programme, such as a natural history show?","Broadcast television, Blu-Ray/DVD, and streaming platforms."
Name two different distribution methods for a digital image used to advertise a programme.,"Digital images on websites, billboard posters, bus station posters, or in newspapers."
